"Accumulated growth",Date,"Account worth","Performance index"
0.0,2025-01-09,0.0,1000000
0.0,2025-01-10,0.0,1000000
0.0,2025-01-13,10000.0,1000000
0.0,2025-01-14,10000.0,1000000
-41.24,2025-01-15,9958.76,995876
82.81,2025-01-16,10082.81,1008281
120.87,2025-01-17,60120.87,1012087
